Run ID    : efficientnetb1_5ch_euvp_bs16_20260624_132042
Ckpt dir  : ./checkpoints/efficientnetb1_5ch_euvp_bs16_20260624_132042
Log file  : D:\underwater-image-enhancement\logs\efficientnetb1_5ch_euvp_bs16_20260624_132042.log
Command   : train.py --dataset euvp --data_train_euvp ./datasets/EUVP --model efficientnetb1_5ch --batchSize 16 --threads 0 --nEpochs 50 --run_name efficientnetb1_5ch_euvp_bs16
Timestamp : 2026-06-24 13:20:42
-----------------------------------------------------------------

=================================================================
  Training: efficientnetb1_5ch   epochs=50   batch=16
=================================================================
 Epoch    TrainL      ValL     PSNR     SSIM         LR    Time
-----------------------------------------------------------------
   [Batch 100/643] Loss: 0.9772
   [Batch 150/643] Loss: 0.9759
   [Batch 200/643] Loss: 0.9246
   [Batch 250/643] Loss: 0.9392
   [Batch 300/643] Loss: 1.0227
   [Batch 350/643] Loss: 0.8086
   [Batch 400/643] Loss: 0.8672
   [Batch 450/643] Loss: 0.9736
   [Batch 500/643] Loss: 0.9376
   [Batch 550/643] Loss: 1.0556
   [Batch 600/643] Loss: 1.0186
   [Batch 50/643] Loss: 0.9308
   [Batch 100/643] Loss: 0.8902
   [Batch 150/643] Loss: 1.0947
   [Batch 200/643] Loss: 1.0419
   [Batch 250/643] Loss: 0.9937
   [Batch 300/643] Loss: 0.9510
   [Batch 350/643] Loss: 0.9189
   [Batch 400/643] Loss: 0.9551
   [Batch 450/643] Loss: 0.9554
   [Batch 500/643] Loss: 0.9831
   [Batch 550/643] Loss: 0.8838
   [Batch 600/643] Loss: 1.0053
    26    0.9497    0.9734   23.478   0.8655   1.00e-04  180.4s  ← BEST ✓
   [Batch 50/643] Loss: 0.9185
   [Batch 100/643] Loss: 0.9270
   [Batch 150/643] Loss: 1.0377
   [Batch 200/643] Loss: 0.9309
   [Batch 250/643] Loss: 0.9424
   [Batch 300/643] Loss: 0.9070
   [Batch 350/643] Loss: 0.8726
   [Batch 400/643] Loss: 0.9900
   [Batch 450/643] Loss: 0.8536
   [Batch 500/643] Loss: 0.9541
   [Batch 550/643] Loss: 0.9326
   [Batch 600/643] Loss: 1.0108
   [Batch 50/643] Loss: 1.0399
   [Batch 100/643] Loss: 0.9565
   [Batch 150/643] Loss: 0.9658
   [Batch 200/643] Loss: 0.8706
   [Batch 250/643] Loss: 0.9316
   [Batch 300/643] Loss: 0.9620
   [Batch 350/643] Loss: 0.9582
   [Batch 400/643] Loss: 0.9534
   [Batch 450/643] Loss: 0.9491
   [Batch 500/643] Loss: 0.8872
   [Batch 550/643] Loss: 0.9246
