Run ID    : efficientnet5ch_euvp_bs16_20260624_053039
Ckpt dir  : ./checkpoints/efficientnet5ch_euvp_bs16_20260624_053039
Log file  : D:\underwater-image-enhancement\logs\efficientnet5ch_euvp_bs16_20260624_053039.log
Command   : train.py --dataset euvp --data_train_euvp ./datasets/EUVP --model efficientnet_5ch --batchSize 16 --threads 0 --nEpochs 50 --run_name efficientnet5ch_euvp_bs16
Timestamp : 2026-06-24 05:30:39
-----------------------------------------------------------------

=================================================================
  Training: efficientnet_5ch   epochs=50   batch=16
=================================================================
 Epoch    TrainL      ValL     PSNR     SSIM         LR    Time
-----------------------------------------------------------------
   [Batch 400/643] Loss: 0.9737
   [Batch 450/643] Loss: 0.9722
   [Batch 500/643] Loss: 0.9205
   [Batch 550/643] Loss: 0.9870
   [Batch 600/643] Loss: 0.9073
    42    0.9193    0.9454   23.680   0.8714   5.00e-05  171.9s
   [Batch 50/643] Loss: 1.0139
   [Batch 100/643] Loss: 1.0071
   [Batch 150/643] Loss: 0.9818
   [Batch 200/643] Loss: 0.8935
   [Batch 250/643] Loss: 0.8737
   [Batch 300/643] Loss: 0.8970
   [Batch 350/643] Loss: 0.9017
   [Batch 400/643] Loss: 0.8822
   [Batch 450/643] Loss: 0.9289
   [Batch 500/643] Loss: 0.8707
   [Batch 550/643] Loss: 0.9322
   [Batch 600/643] Loss: 0.9224
   [Batch 50/643] Loss: 0.8989
   [Batch 100/643] Loss: 0.8786
   [Batch 150/643] Loss: 0.8595
   [Batch 200/643] Loss: 0.9755
   [Batch 250/643] Loss: 0.8876
   [Batch 300/643] Loss: 0.9338
   [Batch 350/643] Loss: 0.9318
   [Batch 400/643] Loss: 0.9370
   [Batch 450/643] Loss: 0.8758
   [Batch 500/643] Loss: 0.9161
   [Batch 550/643] Loss: 0.8511
   [Batch 600/643] Loss: 0.9182
    44    0.9168    0.9454   23.699   0.8718   5.00e-05  172.7s
   [Batch 50/643] Loss: 0.9825
   [Batch 100/643] Loss: 1.0272
   [Batch 150/643] Loss: 0.9378
   [Batch 200/643] Loss: 1.0182
   [Batch 250/643] Loss: 0.9422
   [Batch 300/643] Loss: 0.9689
